symbol,name
GC=F,Gold Futures
SI=F,Silver Futures
CL=F,Crude Oil WTI Futures
NG=F,Natural Gas Futures
ZC=F,Corn Futures
ZW=F,Wheat Futures
ZS=F,Soybean Futures
HG=F,Copper Futures
PL=F,Platinum Futures
