symbol,name
EURUSD=X,Euro / US Dollar
GBPUSD=X,British Pound / US Dollar
JPYUSD=X,Japanese Yen / US Dollar
AUDUSD=X,Australian Dollar / US Dollar
CADUSD=X,Canadian Dollar / US Dollar
CHFUSD=X,Swiss Franc / US Dollar
NZDUSD=X,New Zealand Dollar / US Dollar
CNYUSD=X,Chinese Yuan / US Dollar
